경상북도,구미시,6620t
경상북도,영주시,3661t
경상북도,영천시,1870t
경상북도,상주시,2490t
경상북도,문경시,1766t
경상북도,경산시,2690t
경상북도,군위군,400t
경상북도,의성군,800t
경상북도,청송군,560t
경상북도,영양군,164t
경상북도,영덕군,480t
경상북도,청도군,400t
경상북도,고령군,650t
경상북도,성주군,800t
경상북도,칠곡군,1430t
경상북도,예천군,610t
경상북도,봉화군,290t
경상북도,울진군,400t
경상북도,울릉군,150t
경상남도,진주시,9871t
경상남도,통영시,2837t
경상남도,사천시,1592t
경상남도,김해시,9434t
경상남도,밀양시,1700t
경상남도,거제시,4068t
경상남도,양산시,8366t
경상남도,의령군,270t
경상남도,함안군,945t
경상남도,창녕군,990t
경상남도,고성군,741t
경상남도,남해군,595t
경상남도,하동군,303t
경상남도,산청군,325t
경상남도,함양군,520t
경상남도,거창군,1170t
경상남도,합천군,332t
경상남도,창원시 의창구,5539t
경상남도,창원시 성산구,10390t
경상남도,창원시 마산합포구,3311t
경상남도,창원시 마산회원구,4752t
경상남도,창원시 진해구,5344t
제주특별자치도,제주시,13598t
제주특별자치도,서귀포시,10200t
